debug: nixos_rebuild.process: calling run with args=['nix', '--extra-experimental-features', 'nix-command flakes', 'build', '--print-out-paths', '/home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild', '-v', '--no-link'], kwargs={'stdout': -1}, env=None, append_local_env=None
evaluating derivation 'git+file:///home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.nixos-rebuild'...
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/devshells.nix' to '/nix/store/.links/05jcclk4hcg790in74bakc4xgii392my6krhipb9x0bwf33viwn5'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/hardware/Neo.nix' to '/nix/store/.links/0m3afr5y1wcnjgby8rjv8kk3am5xa656y8w61sph0kvky9j6shw9'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/hardware/Trinity.nix' to '/nix/store/.links/1q0nvm7s4cyjmx38fs31rbfn7h1c2ld0l9gfs2lqvbg955gpwswq'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/docs/dendritic-migration-plan.md' to '/nix/store/.links/0pjndaszf8f2xgqjnr9z62jkvsy88839ym02sb006yij9da1r198'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/docs/SOPS-SETUP.md' to '/nix/store/.links/1mf9ibxdw9aa026l720m91dxckrvqrqh12qzvw51hvz5k3rffwnc'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/web.nix' to '/nix/store/.links/0kb7x2j4vvxik7m3lgawgq2s47wpm5qcar8cj1mxak5m0zvf5gcm'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/devops.nix' to '/nix/store/.links/0ac50lzjb11dk70np7qfhaq1y0bssdcwvindyxav1wndl0a9vxn4'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/java.nix' to '/nix/store/.links/0zxywdm5c9sfb1hrvbhc60rsvnnb1ph01cni0wvinagzrpag34fx'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/security.nix' to '/nix/store/.links/10wsy6hb35wns1bsjx9py3rak2w8g3yqp7jgrf8mdxh096jhxxpi'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/go.nix' to '/nix/store/.links/1hbb032xnxj0hvasi39y4ga92z58r9ni94yawi4bnb8xx89pfxjk'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/rust.nix' to '/nix/store/.links/01px3sg0jc5a53b8vyg553w4rrqhzkhmllsjj2hdp2523rcr1662'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/node.nix' to '/nix/store/.links/1cgzj91a6hsc5ghcrxbmwmh7ghj0lzxw72xqafa7mrqr9g48zxb1'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/pwn.nix' to '/nix/store/.links/1nvwkg4ccw2hmfz7cfn54dgl7viqy8zjf072aw6l13rj8czpccdh'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/cpp.nix' to '/nix/store/.links/0ncam7ymkfd3pbr0z7j1q7kw10jbkgwxhy9pfi06jy56bswl5szh'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/default.nix' to '/nix/store/.links/1dzd7ywvvqngz506nwzcw08a2jc8zib6cgaq6r24psailmlncibg'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/data.nix' to '/nix/store/.links/09g96k42xyabivn2a78zdbpslw8lgsrx4blgfl82bqm1zkzd6cki'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/shells/python.nix' to '/nix/store/.links/1irl2vzv4k0d1pg87g3kq7wa0rj2772qq9zjcgdjwvr1vbwmbaap'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/lib/mkDevShell.nix' to '/nix/store/.links/1bqmwyqya0ksnd33vjc3gdb2z4d2lg2xlzxjm44gkrn6nyxrd847'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/openstego.nix' to '/nix/store/.links/0s209cld5v4ig4khshqc7x8kcxwb4j57kxsvmb67fwy6y505wm2f'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/realm-studio.nix' to '/nix/store/.links/0411mqnbm1iykd67a4xsbi8cfsjnhjrax6h6hv996j5mxzcw7gdn'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/seclists.nix' to '/nix/store/.links/0jm37kpzb0zyv6clds76715sdkrsc15vbkhjsbf3k6s91qbkn3yp'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/gastown.nix' to '/nix/store/.links/1w2mqyi1bcw03hzna1ibngmpcvc2451f968rkmi8jchvrl0ar0ax'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/ansible-language-server-missing-hashes.json' to '/nix/store/.links/1l7v9bia78wsx3xr7awx48csqvymiaf28857m405iy79bfgv7ckp'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/beads.nix' to '/nix/store/.links/08r7cwjhmncd9pwy3kgh9pxrg376mz2r8zs0ifvd1kvclmiq7fvm'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/cyberpunk-neon-gtk.nix' to '/nix/store/.links/0qc22wz0prnpl1lcz0fk8k18cfljv0nqbssfclh6273lngkbkcz6'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/overlays/ansible-language-server.nix' to '/nix/store/.links/11bm8pbi3rhq3a9mg9vpp6arfha533k60k4km8xaaj9bab8x2pqv'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/custom/ldapdomaindump.nix' to '/nix/store/.links/0xwqldplfgws9lwj5pwqrqx87g3vlh2jwcwa2j5gf9nm2l5sg1kr'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/custom/i686.nix' to '/nix/store/.links/0vs45rcihdwpkkxkxh79ib4shpv0rvr4srlipbcgbhmhcymn2nqi'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/custom/binutils.nix' to '/nix/store/.links/01bv06zhwd8dkgaj0y9ddx3lf52qz12755bvd0y1xx9kwyzxrly6'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/custom/newlib.nix' to '/nix/store/.links/1diz79ms2qng9awfppili7v61a7wy2hhgh9lqicfrc2rg1vh3bgg'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/secrets/secrets.yaml' to '/nix/store/.links/172hzl8m72cjng57jzld8wjf9p218ys70pzrxsvl5q5yzis4izyf'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/Neo.nix' to '/nix/store/.links/1n76dawvfmwk80cljfkiymb4hjcjspnxzzwa4sndgy9i8539ax8l'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/netscape.nix' to '/nix/store/.links/0v967aclg21g5p1qjhb54yc6r4smgwnrjdydgnr49ianj13gp76z'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/Trinity.nix' to '/nix/store/.links/0pfpanc7q126iprkqrasd61vn6i6d4kc5rncsgfpik83avs7kkbk'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/editors.nix' to '/nix/store/.links/09h3amrnqgl4vw6nr7gkxidyn1pzsfvwwyqh5f461a5vi1q9d9x5'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/gtk.nix' to '/nix/store/.links/1vzmxnvrq1vyzzyv2q53l3lv10v3shxpslz6z6vv3qgfppppangv'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/newsboat.nix' to '/nix/store/.links/1c6sciy1gzdahfrzd1rx9zjiwmh4n00af8bslkvvbjr7di8r9a1b'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/terminals.nix' to '/nix/store/.links/0x7ynba3249hswslvlfz65p7lg0x1ikk2acfvag6bakwrii1k8lf'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/coding-agents.nix' to '/nix/store/.links/164wavy1zpjz2ch3br6f4lp2qlzma89mzacxlhnb8aar3qp24dfd'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/openclaw.nix' to '/nix/store/.links/0idlrjm5s4pm3dn8b904q6x6xnid0qnq84832dwa581jqqxxfxbj'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/git.nix' to '/nix/store/.links/1bavvb6jihs3s6i2s9lj2lzwib0jgk3qzbp0w3rkzl7xpa5r82k6'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/shell.nix' to '/nix/store/.links/1y6f9zxr1xdxykkcypyxwazgvmcfpkbd3ssnnqnf6avjil8maz2f'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/colors.nix' to '/nix/store/.links/01vf5x7hh1ykm7wh6rcmv4s9h432bwpbpblpbksadf53b9lfwy3b'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/default.nix' to '/nix/store/.links/1hc8gphbc54p6587q7lz8l0szw929n00fiivx2bhjaqcl1wy7cvg'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/rofi.nix' to '/nix/store/.links/03lvyxf0qsn8nv9mz7kqknyghq17dkhllg48airfw1dmzgn2xfas'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/lightdm.nix' to '/nix/store/.links/0gnkl2swa82v8dfd3k0lj65rcdjybcisddpawfd4havviz3l3sh3'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/nushell.nix' to '/nix/store/.links/130hpvcb7gjh423f5vk66dyhrd1g5ly8hm8l78qzif4ic0x5lybn'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/rofi-themes.nix' to '/nix/store/.links/108v9rm0lv8lvlvpshfxnrswbnicyr3qlxhqa9vb6skh1n4nydp4'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/security.nix' to '/nix/store/.links/1ddgl3pmmgqp83ss6v9lwqa4nhz4igyikxjca0pw9h3nsrglazhy'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/picom.nix' to '/nix/store/.links/1vxrpwg4vifmqbxr6b72b7ngbvrxzhvmvdc8qrjlykr2qmpm1x1g'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/neo4j.nix' to '/nix/store/.links/0pk73vdy2v3xfpz3pjk8qi8z84kxiix30qxsvr0six7f20frgjb4'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/gnome.nix' to '/nix/store/.links/08c713qjny3kqshmq92gahcp8zwl6g87znpa9xsr084qqvc9x6jl'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/kitty.nix' to '/nix/store/.links/031pqrzf2pn08n2384fxydnc6m5lf9ndx2391y8xz81lvcsjg3b2'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/syslog.nix' to '/nix/store/.links/1ia6s5d70ck0m3s07fxs8nl1klfw48qj5mx61dpszad8q4w687km'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/archive/shells.nix' to '/nix/store/.links/0dm5mk3ggknxzylbk87wr87pl6kdx5xq0l5f2k4f9s7pzi8f9k0s'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/virtualization.nix' to '/nix/store/.links/0b1ln9b7pfwxj8117jrgnqx8ab6xjdnaagfdima6ayyyyaiffgvl'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/htb.nix' to '/nix/store/.links/0kfah19wm6c1bxsmpiay1ymi2yswpppyyjzb3iyvzr2dw0lvmmfb'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/users.nix' to '/nix/store/.links/1j16p757cg5wvzwbi3dpix88rmkpm3554x1an2ah82745n2yc6cr'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/networking.nix' to '/nix/store/.links/0f0gqpj4v84cmw7dq1q5dx1hzi20x93jpq9ihwfn4hf4gd9vpfwk'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/security-extras.nix' to '/nix/store/.links/102y9jcwny5pnflih0cx30mdwj6j0vlqm2ahiy85csy3q6ar643w'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/hardware.nix' to '/nix/store/.links/08w37b4b29r2z0x28xm4pdir7ysb8dmpamzi3g4ris5c6x3miv9v'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/secrets.nix' to '/nix/store/.links/1ck9ww8c4qr7zs65c4g25czhjkzp7acdqdijsx4n6g5v1f7g8cfr'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/openclaw.nix' to '/nix/store/.links/0n2yamri41xlvscs3dxqbh89vvdhc70d066hq3zgnx8fc92s8cxv'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/hermes.nix' to '/nix/store/.links/0rxnxd0ghfpy0qw2q8j74ydn0vfihvhqakahx37i1gwx7czsjrkk'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/audio.nix' to '/nix/store/.links/1mhvpkda69hjhryiv6p5dhvyjqg9a53dgk6c9smpykspqayszpji'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/services.nix' to '/nix/store/.links/1pa2nyiwwmzdvdyj2c4h7q68633ilj8ds5lqs8npccaidkriwv24'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/shared.nix' to '/nix/store/.links/0idyjn8s7lsgw36l9g1wwz2aynaxbxdv0frszidps2q1kppj26c7'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/users.nix' to '/nix/store/.links/0hjkgkm1y888kfwicm2k3zb3jh3zmbrhw1k2pbvw51w6j8lv29dk'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/security-tools.nix' to '/nix/store/.links/1g4zz4k86iqds1pg052ci71yhlzv5hd041gpkwcdx1b5i4dgm0im'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/networking.nix' to '/nix/store/.links/1xhy0mjy8aqjhj7bkz4zwkyk4h2jn17gz9zbhxv9fia2zhfnj9wj'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/core.nix' to '/nix/store/.links/1mlhq9qjnpg1hsq0radpwl648h1q8giyfbkf0ydzl3gyfj962m3i'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/desktop.nix' to '/nix/store/.links/12lrxnpfpggw6rwiww33a9d1j139va3jk1czw91ks5fa6knb4p47'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/hardware.nix' to '/nix/store/.links/0zqi6akw5gdijqxj5y8lxnc070ahy6m3cmabj43wpb7h3ahi35q1'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/secrets.nix' to '/nix/store/.links/0a93awjh1fg0jc741b5h69rikab23bsdjg2hbf5h7mk4bjd2872y'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/openclaw.nix' to '/nix/store/.links/1qvjywim1j4sfj620j402mj488di6ay3d4rk5jhp5m2abdn1abwx'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/virtualisation.nix' to '/nix/store/.links/17c21br7x6cqwwr3iz98cn09vm9im44nrxvx3li9fl5q401vi4lj'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/audio.nix' to '/nix/store/.links/1ix2isp3zfj2j47a977bq5xwqksn89qhx4va258g4ll7faijw91v'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/parts/aspects/features/services.nix' to '/nix/store/.links/0c5fwdlq6zk2jw74dyzg7a9vy22f0fmr058jyq50hxkj4l981y04'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/colorschemes/cyberpunk-neon.nix' to '/nix/store/.links/1gv755f617g8spz5rsjvf3qhypgifh6kn7r9z0fidyh2941lkmyl'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/colorschemes/burgundy-red.nix' to '/nix/store/.links/1l5a3y3g3v8nfm3f0bq5pv30r14g75yghmd0avwhpv1q6l26pmgs'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/colorschemes/blue-matrix.nix' to '/nix/store/.links/0j4znhvx4m8lwjc338nqrk813kl3xicr6x9j3rzqr4zfkkns0nw9'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/colorschemes/default.nix' to '/nix/store/.links/0fycx2i7rgikccwvahmhkwlc4cfki5245p92qw4hmbdg69l2hz0z'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/devops.nix' to '/nix/store/.links/0xmissw7rkb2mhdprijyb1wyrd2amn9hvp5dcsw8vq599lyi5zax'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/security.nix' to '/nix/store/.links/1jcd8lvjdq32yzj0pb0g7f8453msfd893i59w69q6cy5b8dlxa22'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/general.nix' to '/nix/store/.links/0ixnfrnik0dn72f79aqzj71ikmwkxrbnhdn2aid7i2z3c5xy7cn2'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/hardware.nix' to '/nix/store/.links/02sv2qa4g9mzp13cy795r7k25b8lrybpqpx91wskvsyhqg4hni0w'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/development.nix' to '/nix/store/.links/1knb7654r89frcv93m9fafj2viywa0zrmym8jdz1sn4x7hn51hjz'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/packages/ai-tools.nix' to '/nix/store/.links/07ck893as0xcinv922qgipk1si1cfm370lcqr9crys59dw3y0g9h'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/rofi.nix' to '/nix/store/.links/1x4vyliw7sm29z5ilv7708kp515qk3xdbc3chvwwsn5scx67ih56'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/dunst.nix' to '/nix/store/.links/0hci0nzygdadzknsn9pf5h89gg9q6ml9p7w7cyyp6hx2mblafk83'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/niri.nix' to '/nix/store/.links/0m8gprb4pdla79dzqrl4x7rnnrki5dabz8rznxkvkcaxrhz8pga0'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/swaylock.nix' to '/nix/store/.links/1iaf3nx64hjqvdjp8wc4z21w49lihijn4nx7084cs10ir9vp73nl'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/river.nix' to '/nix/store/.links/01jm3569mwdq83nc26qn0n77zv83f351rx8gifc6w5kpjjhl8895'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/waybar.nix' to '/nix/store/.links/11lcr6r32hc1pnv42xbnk2a1p7wjbdn11fg296lsypqyhv4n6mkh'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/home/wm/default.nix' to '/nix/store/.links/09l80gydafarvvxa9n5irq4wkr16qwhwp668fr5vkznv8fq4ggd7'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/desktop/plasma.nix' to '/nix/store/.links/072190f1xp0w3iqjk324y307526i6shzl5als2whf24pyjgcd8xx'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/desktop/steam.nix' to '/nix/store/.links/025pixcjfg892qn2w22gidyi9achj3ai8fg79zyqv5lvp8hgds0q'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/desktop/niri.nix' to '/nix/store/.links/10i1lgyzl7sblyy6nfap6jjal78ay7ijwqiv9233lhr7rqs3acii'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/desktop/sway.nix' to '/nix/store/.links/0sp5pwqs30qnp4hl7rhjvx6nymh1d53bwbfhbav5bmidl10razgc'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/desktop/default.nix' to '/nix/store/.links/02nkhsjmwhsaxppv2pls771l41kqqix0bgrg5f5zqzc19hinqpph'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/nix-settings.nix' to '/nix/store/.links/1picr7z7yqsmsak4hwk4g41aazlimi42cdwrw7r3icjnsl5hck02'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/boot.nix' to '/nix/store/.links/0zd1mk85ljiq935pyj7l30hc5pbc68zmx852vjbajy92xn4zqvb2'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/editor.nix' to '/nix/store/.links/0qy9m5y6sbqbd7hdsh7cilj6r2jwqpcrgrhg7q1ijxnyb3ihygvb'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/packages.nix' to '/nix/store/.links/13jj40ll4m5wdgfw42wdsg83djk2spi2siyyibp5zvw1k73jfyz6'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/man.nix' to '/nix/store/.links/0n017mx2j029qsnnjqp4fr886g2zjv1k69n4apihgf93llx5z3rl'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/fonts.nix' to '/nix/store/.links/0vq9kdpr1dbv2wm19n27ibb3ah4rv31vc5p7jynj6h3gli0hk0dn'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/locale.nix' to '/nix/store/.links/017cixq826gcc7cm305jan19qk1v675k10rhyb6sqfiwnc073l00'
linking '/nix/store/ms3chxcrk9dwws7fll3xpkd6i84d0lah-source/modules/system/core/default.nix' to '/nix/store/.links/1whj8vhdswx46r459mld2yklgwii2iqjyvjb8gb55vyk19pcpl9c'
Using saved setting for 'extra-substituters = https://devenv.cachix.org' from ~/.local/share/nix/trusted-settings.json.
Using saved setting for 'extra-trusted-public-keys = devenv.cachix.org-1:w1cLUi8dv3hnoSPGAuibQv+f9TZLr6cv/Hm9XgU50cw=' from ~/.local/share/nix/trusted-settings.json.
debug: nixos_rebuild.process: captured output with stdout='/nix/store/0ppazc3p1kv2xly0syps868hzz7kjygb-nixos-rebuild-ng-26.05\n', stderr=None
debug: nixos_rebuild.process: calling run with args=['nix-instantiate', '--find-file', 'nixos-system'], kwargs={'capture_output': True}, env=None, append_local_env=None
debug: nixos_rebuild.process: captured output with stdout='', stderr="error: file 'nixos-system' was not found in the Nix search path (add it using $NIX_PATH or -I)\n"
building the system configuration...
debug: nixos_rebuild.process: calling run with args=['nix', '--extra-experimental-features', 'nix-command flakes', 'build', '--print-out-paths', '/home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.toplevel', '--no-link', '-v'], kwargs={'stdout': -1}, env=None, append_local_env=None
evaluating derivation 'git+file:///home/netscape/nixos-dotfiles#nixosConfigurations."Trinity".config.system.build.toplevel'...
fetching git input 'git+file:///home/netscape/nixos-dotfiles'
warning: Git tree '/home/netscape/nixos-dotfiles' is dirty
linking '/nix/store/rz9xb3j0gwnrqspm34hzfsksipks68sa-source/.sops.yaml' to '/nix/store/.links/0ksnkc2rc9idql40cfcx2n8c450drr2fqgcn7ri3m5b27gw8bq40'
linking '/nix/store/rz9xb3j0gwnrqspm34hzfsksipks68sa-source/.gitignore' to '/nix/store/.links/0lzb89m4lc5nw2bk7z4abdxc56wnwm5n9kwrq5zdz47nzqc51a7a'
linking '/nix/store/rz9xb3j0gwnrqspm34hzfsksipks68sa-source/flake.nix' to '/nix/store/.links/0sr5khh8ychlgxpi89l6122fv4cggrp45gwsjdi36rhxw9l75kfi'
